,title,type,date_added,Action & Adventure,Anime,International,Family,Classic,Comedy,Crime,Cult,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,LGBTQ,Music,Reality,Romantic,Sci-Fi & Fantasy,Science & Nature,Sports,Mystery,Thriller,Teen,mean_price,averageRating
113,The Nutty Professor,Movie,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.7
114,In the Line of Fire,Movie,2021-08-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.2
115,The Ingenuity of the Househusband,TV Show,2021-08-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.7
116,Wind River,Movie,2021-08-28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.7
117,C Kkompany,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.5
118,Deadly Sins,TV Show,2021-08-27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.1
119,He's All That,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,4.4
120,I Heart Arlo,TV Show,2021-08-27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.9
121,King of Boys: The Return of the King,TV Show,2021-08-27,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.6
122,Krishna Cottage,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.2
123,Kyaa Kool Hai Hum,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529.884540904652,6.1
124,Kyaa Kool Hain Hum 3,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,1.9
125,Kyaa Super Kool Hain Hum,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.0
126,Kyo Kii... Main Jhuth Nahin Bolta,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.4
127,"LSD: Love, Sex Aur Dhokha",Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.2
128,Once Upon a Time in Mumbaai,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529.884540904652,7.4
129,Ragini MMS 2,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,3.9
