title,type,date_added,Action & Adventure,Anime,International,Family,Classic,Comedy,Crime,Cult,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,LGBTQ,Music,Reality,Romantic,Sci-Fi & Fantasy,Science & Nature,Sports,Mystery,Thriller,Teen,mean_price,averageRating
School of Rock,Movie,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,588.4411692899816,7.2
Snervous Tyler Oakley,Movie,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,588.4411692899816,5.5
Tears of the Sun,Movie,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.6
The Blue Lagoon,Movie,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.8
The Golden Child,Movie,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,6.0
The Guns of Navarone,Movie,2021-09-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,7.5
The Nutty Professor,Movie,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.4411692899816,5.7
In the Line of Fire,Movie,2021-08-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.2
The Ingenuity of the Househusband,TV Show,2021-08-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.7
Wind River,Movie,2021-08-28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.7
C Kkompany,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.5
Deadly Sins,TV Show,2021-08-27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.1
He's All That,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,4.4
I Heart Arlo,TV Show,2021-08-27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.9
King of Boys: The Return of the King,TV Show,2021-08-27,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.6
Krishna Cottage,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.2
Kyaa Kool Hai Hum,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529.884540904652,6.1
Kyaa Kool Hain Hum 3,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,1.9
Kyaa Super Kool Hain Hum,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.0
Kyo Kii... Main Jhuth Nahin Bolta,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.4
"LSD: Love, Sex Aur Dhokha",Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.2
Once Upon a Time in Mumbaai,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529.884540904652,7.4
Ragini MMS 2,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,3.9
Rebellion,TV Show,2021-08-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.4
Shootout at Lokhandwala,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.1
The Dirty Picture,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.6
Family Reunion,TV Show,2021-08-26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.8
"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.9
Motel Makeover,TV Show,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,529.884540904652,5.0
Open Your Eyes,TV Show,2021-08-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,529.884540904652,6.6
Post Mortem: No One Dies in Skarnes,TV Show,2021-08-25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.1
Really Love,Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.2
The November Man,Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.3
The Old Ways,Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.4
